"disaster_number","declaration_date","state","declaration_type","incident_type","declaration_title","incident_begin_date","incident_end_date","designated_area"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Sullivan (County)"
4932,"2026-08-03","WV","DR","Flood","SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-07-21","2026-07-22","Pleasants (County)"
4928,"2026-08-03","NE","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-15","2026-05-18","Gage (County)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Chelan (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Mercer (County)"
4930,"2026-08-03","MS","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-18","2026-06-20","Harrison (County)"
4931,"2026-08-03","MP","DR","Typhoon","SUPER TYPHOON BAVI","2026-07-04","2026-07-12","Rota (Municipality)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Holt (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Jasper (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Worth (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Dade (County)"
4932,"2026-08-03","WV","DR","Flood","SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-07-21","2026-07-22","Ritchie (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Moniteau (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Shelby (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Newton (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Knox (County)"
4931,"2026-08-03","MP","DR","Typhoon","SUPER TYPHOON BAVI","2026-07-04","2026-07-12","Saipan (Municipality)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Yakama Reservation"
4930,"2026-08-03","MS","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-18","2026-06-20","Hancock (County)"
4928,"2026-08-03","NE","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-15","2026-05-18","Nemaha (County)"
4930,"2026-08-03","MS","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-18","2026-06-20","Covington (County)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Spokane (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Miller (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Putnam (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Adair (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Andrew (County)"
4928,"2026-08-03","NE","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-15","2026-05-18","Jefferson (County)"
4928,"2026-08-03","NE","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-15","2026-05-18","Buffalo (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Macon (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Osage (County)"
4928,"2026-08-03","NE","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-15","2026-05-18","Thayer (County)"
4932,"2026-08-03","WV","DR","Flood","SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-07-21","2026-07-22","Lewis (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Daviess (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Hickory (County)"
4930,"2026-08-03","MS","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-18","2026-06-20","George (County)"
4928,"2026-08-03","NE","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-15","2026-05-18","Thurston (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Marion (County)"
4932,"2026-08-03","WV","DR","Flood","SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-07-21","2026-07-22","Upshur (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Morgan (County)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Stevens (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Polk (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Linn (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Camden (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Gentry (County)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Ferry (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Scott (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Harrison (County)"
4930,"2026-08-03","MS","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-18","2026-06-20","Stone (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Callaway (County)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Yakima (County)"
4930,"2026-08-03","MS","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-18","2026-06-20","Pearl River (County)"
4929,"2026-08-03","MO","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-06-04","2026-06-18","Gasconade (County)"
3650,"2026-08-03","WA","EM","Fire","WILDFIRES","2026-08-01","","Okanogan (County)"
5659,"2026-08-02","WA","FM","Fire","AUTUMN LANE FIRE","2026-08-01","","Stevens (County)"
5659,"2026-08-02","WA","FM","Fire","AUTUMN LANE FIRE","2026-08-01","","Spokane (County)"
5658,"2026-08-02","WA","FM","Fire","FAIRVIEW FIRE","2026-08-01","","Spokane (County)"
5660,"2026-08-02","ID","FM","Fire","TARTAR FIRE","2026-08-02","","Washington (County)"
5661,"2026-08-02","UT","FM","Fire","WIDEMOUTH 2 FIRE","2026-08-02","","Millard (County)"
5657,"2026-08-01","WA","FM","Fire","SINLAHEKIN FIRE","2026-08-01","","Okanogan (County)"
5656,"2026-08-01","WA","FM","Fire","OLD TRAILS FIRE","2026-08-01","","Spokane (County)"
5655,"2026-07-31","OR","FM","Fire","ROWE CREEK FIRE COMPLEX","2026-07-31","","Jefferson (County)"
5654,"2026-07-31","OR","FM","Fire","FOX FIRE","2026-07-31","","Baker (County)"
5655,"2026-07-31","OR","FM","Fire","ROWE CREEK FIRE COMPLEX","2026-07-31","","Crook (County)"
5653,"2026-07-30","WA","FM","Fire","MODRITE FIRE","2026-07-30","","Ferry (County)"
5653,"2026-07-30","WA","FM","Fire","MODRITE FIRE","2026-07-30","","Colville Indian Reservation"
5650,"2026-07-26","HI","FM","Fire","KAWAIHAE ROAD FIRE","2026-07-26","","Hawaii (County)"
5652,"2026-07-26","CA","FM","Fire","DOVE FIRE","2026-07-26","","Tuolumne (County)"
5651,"2026-07-26","WA","FM","Fire","RANSIER FIRE","2026-07-26","","Yakama Reservation"
5651,"2026-07-26","WA","FM","Fire","RANSIER FIRE","2026-07-26","","Yakima (County)"
5649,"2026-07-26","WA","FM","Fire","SIGNAL PEAK FIRE","2026-07-25","","Yakima (County)"
5649,"2026-07-26","WA","FM","Fire","SIGNAL PEAK FIRE","2026-07-25","","Yakama Reservation"
5648,"2026-07-25","OR","FM","Fire","GRASSHOPPER FIRE","2026-07-23","","Wasco (County)"
5647,"2026-07-23","OR","FM","Fire","AKAWA BUTTE FIRE","2026-07-23","","Deschutes (County)"
5647,"2026-07-23","OR","FM","Fire","AKAWA BUTTE FIRE","2026-07-23","","Warm Springs Indian Reservation"
5647,"2026-07-23","OR","FM","Fire","AKAWA BUTTE FIRE","2026-07-23","","Jefferson (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Kimble (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Blanco (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Medina (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Wilson (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Pecos (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Kendall (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Bexar (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Webb (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Real (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Menard (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Atascosa (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Schleicher (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Frio (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Terrell (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Edwards (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Val Verde (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Uvalde (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","La Salle (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Kinney (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Live Oak (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Kerr (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Jim Wells (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Mason (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Bandera (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Zavala (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Dimmit (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Sutton (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Gillespie (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Comal (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Duval (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Maverick (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Brewster (County)"
3649,"2026-07-18","TX","EM","Flood","FLOODING","2026-07-12","","Crockett (County)"
5646,"2026-07-17","WA","FM","Fire","KAISER CANYON FIRE","2026-07-16","","Colville Indian Reservation"
5646,"2026-07-17","WA","FM","Fire","KAISER CANYON FIRE","2026-07-16","","Okanogan (County)"
5645,"2026-07-16","OR","FM","Fire","LOWER DRY CREEK FIRE ","2026-07-15","","Umatilla (County)"
5644,"2026-07-05","CO","FM","Fire","WILLOW FIRE","2026-07-05","","Lake (County)"
3647,"2026-07-03","MP","EM","Tropical Storm","TYPHOON BAVI","2026-07-02","","Northern Islands (Municipality)"
3647,"2026-07-03","MP","EM","Tropical Storm","TYPHOON BAVI","2026-07-02","","Northern Mariana Islands (County-equivalent)"
3647,"2026-07-03","MP","EM","Tropical Storm","TYPHOON BAVI","2026-07-02","","Saipan (Municipality)"
3648,"2026-07-03","GU","EM","Typhoon","TYPHOON BAVI","2026-07-02","","Guam (County-equivalent)"
3647,"2026-07-03","MP","EM","Tropical Storm","TYPHOON BAVI","2026-07-02","","Rota (Municipality)"
3647,"2026-07-03","MP","EM","Tropical Storm","TYPHOON BAVI","2026-07-02","","Tinian (Municipality)"
5643,"2026-06-30","CO","FM","Fire","GOLD MOUNTAIN FIRE","2026-06-30","","Ouray (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Outagamie (County)"
4917,"2026-06-30","ID","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-03-11","2026-03-15","Latah (County)"
4927,"2026-06-30","LA","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-17","2026-06-24","Winn (Parish)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Winnebago (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Milwaukee (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Buffalo (County)"
4917,"2026-06-30","ID","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-03-11","2026-03-15","Kootenai (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Washtenaw (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Crawford (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Saginaw (County)"
4927,"2026-06-30","LA","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-17","2026-06-24","Lafourche (Parish)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Vernon (County)"
4926,"2026-06-30","KS","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-04-26","2026-04-27","Cherokee (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Montcalm (County)"
4920,"2026-06-30","NE","DR","Fire","WILDFIRES","2026-03-12","2026-04-02","Lincoln (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Rock (County)"
4919,"2026-06-30","MA","DR","Winter Storm","SEVERE WINTER STORM AND SNOWSTORM","2026-02-22","2026-02-23","Mashpee Wampanoag Tribe"
4918,"2026-06-30","NM","DR","Severe Storm","SEVERE STORMS AND FLOODING","2025-09-28","2025-09-29","Pueblo of Acoma"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Iron (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Roscommon (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Charlevoix (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Grand Traverse (County)"
4927,"2026-06-30","LA","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-17","2026-06-24","St. Tammany (Parish)"
4921,"2026-06-30","GU","DR","Typhoon","SUPER TYPHOON SINLAKU","2026-04-11","2026-04-18","Guam (County-equivalent)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Jackson (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Jefferson (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Manitowoc (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Montmorency (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Iosco (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Cheboygan (County)"
4922,"2026-06-30","MS","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-06","2026-05-07","Lawrence (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Emmet (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Missaukee (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Oceana (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Oneida Indian Reservation"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Barry (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Juneau (County)"
4917,"2026-06-30","ID","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-03-11","2026-03-15","Nez Perce (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Alpena (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Kenosha (County)"
4924,"2026-06-30","MO","DR","Severe Storm","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-23","2026-04-28","Carroll (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Marathon (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Wexford (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Washington (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Manistee (County)"
4924,"2026-06-30","MO","DR","Severe Storm","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-23","2026-04-28","St. Francois (County)"
4927,"2026-06-30","LA","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-17","2026-06-24","Avoyelles (Parish)"
4920,"2026-06-30","NE","DR","Fire","WILDFIRES","2026-03-12","2026-04-02","Arthur (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Presque Isle (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Sauk (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Waukesha (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Eaton (County)"
4924,"2026-06-30","MO","DR","Severe Storm","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-23","2026-04-28","Saline (County)"
4924,"2026-06-30","MO","DR","Severe Storm","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-23","2026-04-28","Randolph (County)"
4924,"2026-06-30","MO","DR","Severe Storm","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-23","2026-04-28","Ripley (County)"
4927,"2026-06-30","LA","DR","Tropical Storm","TROPICAL STORM ARTHUR","2026-06-17","2026-06-24","Pointe Coupee (Parish)"
4917,"2026-06-30","ID","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-03-11","2026-03-15","Clearwater (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Allegan (County)"
4917,"2026-06-30","ID","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-03-11","2026-03-15","Benewah (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Antrim (County)"
4924,"2026-06-30","MO","DR","Severe Storm","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-23","2026-04-28","Holt (County)"
4917,"2026-06-30","ID","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES","2026-03-11","2026-03-15","Bonner (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Kewaunee (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Brown (County)"
4922,"2026-06-30","MS","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-05-06","2026-05-07","Franklin (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Ogemaw (County)"
4923,"2026-06-30","WI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-13","2026-04-23","Iowa (County)"
4920,"2026-06-30","NE","DR","Fire","WILDFIRES","2026-03-12","2026-04-02","Grant (County)"
4924,"2026-06-30","MO","DR","Severe Storm","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-23","2026-04-28","Chariton (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Lake (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Muskegon (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Marquette (County)"
4926,"2026-06-30","KS","DR","Severe Storm","SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING","2026-04-26","2026-04-27","Wabaunsee (County)"
4925,"2026-06-30","MI","DR","Flood","SEVERE STORMS, TORNADOES, AND FLOODING","2026-04-10","2026-04-21","Tuscola (County)"
